ID,SECTION,CARD,PROFIT (k/h),COST (M),RATIO (%),,0.03,45
1,PR&Team,CEO,3.08,4.00,77.0%,,,
2,PR&Team,Marketing,2.16,4.00,54.0%,,,
3,PR&Team,IT team,6.69,3.33,200.9%,,,
4,PR&Team,Support team,2.16,3.00,72.0%,,,
5,PR&Team,HamsterBook,2.16,2.00,108.0%,,,
6,PR&Team,HamsterTube,3.06,6.07,50.4%,,,
7,PR&Team,X,2.72,5.56,48.9%,,,
8,PR&Team,Cointelegraph,1.49,9.39,15.9%,,,
9,PR&Team,HamsterGram,1.70,5.06,33.6%,,,
10,PR&Team,TikTok,3.08,3.00,102.7%,,,
11,PR&Team,Coindesk,2.23,1.66,134.3%,,,
12,PR&Team,Influencers,7.53,4.16,181.0%,,,
13,PR&Team,Partnership program,2.16,2.00,108.0%,,,
14,PR&Team,Product team,2.79,1.66,168.1%,,,
15,PR&Team,BisDev team,1.54,2.00,77.0%,,,
16,PR&Team,Two factor authentication,3.49,1.66,210.2%,,,
17,PR&Team,UX and UI team,5.4,3.04,177.6%,,,
18,PR&Team,Security team,5.58,1.66,336.1%,,,
19,PR&Team,QA team,5.3,2.12,250.0%,,,
20,PR&Team,Antihacking shield,2.77,1.45,191.0%,,,
21,PR&Team,Risk management team,7.39,3.33,221.9%,,,
22,PR&Team,Security Audition,2.79,4.99,55.9%,,,
23,PR&Team,Anonymous transactions ban,9.25,3.6,256.9%,,,
24,PR&Team,Blocking suspicious accounts,4.46,2.08,214.4%,,,
25,PR&Team,Tokenomics expert,12.56,3.63,346.0%,,,
26,PR&Team,Consensus Explorer pass,37.69,18.13,207.9%,,,
27,PR&Team,VC Labs,12.56,11.24,111.7%,,,
28,PR&Team,Compliance officer,3.01,2.54,118.5%,,,
29,PR&Team,Welcome to Amsterdam,0.00,1.00,0.0%,,,
30,PR&Team,Development Hub Mumbai,90.2,29.91,301.6%,,,
31,PR&Team,Data Center Tokyo,146.58,66.46,220.6%,,,
32,PR&Team,Leaderboards,16.91,6.65,254.3%,,,
33,PR&Team,Minigame,20.14,6.39,315.2%,,,
34,Markets,Fan tokens,23.87,7.25,329.2%,,,
35,Markets,Staking,16.73,5.82,287.5%,,,
36,Markets,BTC pairs,1.36,2.53,53.8%,,,
37,Markets,ETH pairs,1.36,3.03,44.9%,,,
38,Markets,Top 10 cmc pairs,2.47,4.00,61.8%,,,
39,Markets,GameFi tokens,2.16,2.00,108.0%,,,
40,Markets,Defi2.0 tokens,1.36,5.06,26.9%,,,
41,Markets,SocialFi tokens,1.54,2.00,77.0%,,,
42,Markets,Meme coins,2.77,1.45,191.0%,,,
43,Markets,Shit coins,16.45,8.31,198.0%,,,
44,Markets,Margin trading x10,7.67,4.16,184.4%,,,
45,Markets,Margin trading x20,9.76,4.16,234.6%,,,
46,Markets,Margin trading x30,13.94,5.82,239.5%,,,
47,Markets,Margin trading x50,30.68,16.63,184.5%,,,
48,Markets,Margin trading x75,0.00,1.00,0.0%,,,
49,Markets,Margin trading x100,0.00,1.00,0.0%,,,
50,Markets,Derivatives,13.81,4.16,332.0%,,,
51,Markets,Prediction markets,0.00,1.00,0.0%,,,
52,Markets,Web3 integration,22.03,10.81,203.8%,,,
53,Markets,DAO,0.00,1.00,0.0%,,,
54,Markets,P2P trading,9.8,3.05,321.3%,,,
55,Markets,Trading bots,4.9,1.52,322.4%,,,
56,Markets,LayerZero Listing,22.62,7.25,312.0%,,,
57,Legal,KYC,0.38,2.68,14.0%,,,
58,Legal,KYB,1.85,2.00,92.5%,,,
59,Legal,Legal opinion,1.67,1.66,100.6%,,,
60,Legal,SEC transparency,1.67,2.00,83.5%,,,
61,Legal,Anti money loundering,7.81,4.99,156.5%,,,
62,Legal,Licence UAE,15.62,8.31,188.0%,,,
63,Legal,Licence Europe,20.08,8.31,241.6%,,,
64,Legal,Licence Asia,9.3,3.63,256.2%,,,
65,Legal,Licence South America,9.8,3.63,270.0%,,,
66,Legal,Licence Australia,18.96,8.31,228.2%,,,
67,Legal,Licence North America,24.12,7.25,332.7%,,,
68,Legal,Licence Nigeria,4.74,2.49,190.4%,,,
69,Legal,Licence Japan,58.63,16.61,353.0%,,,
70,Legal,Licence Ethiopia,0.00,1.00,0.0%,,,
71,Legal,Licence India,0.00,1.00,0.0%,,,
72,Legal,Licence Bangladesh,0.00,1.00,0.0%,,,
73,Legal,Licence Indonesia,0.00,1.00,0.0%,,,
74,Legal,Licence Vietnam,90.2,28.25,319.3%,,,
75,Legal,Licence Turkey,67.65,24.92,271.5%,,,
76,Legal,Licence Philippines,146.58,49.84,294.1%,,,
77,Web3,DEX,75.39,54.40,138.6%,,,
78,Web3,Oracle,18.04,5.82,310.0%,,,
79,Web3,Vesting Smartcontracts,27.06,13.62,198.7%,,,
80,Web3,Launchpad,57.65,31.57,182.6%,,,
